TTR part num,Part Level,Customer,Segment,End Customer,Category,Description,Core Thickness,Core Width,Core Height,Tube per core,Tank,Price
A0DFA5001S00,ECS,Tata Motors,Commercial Vehicle,SPD,Domestic,Aftermarket-LPS 4018/3516-278650000084,48,537.2,740,108,Plastic,14654.64
A0FKA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,SET-COOLING SYSTEM,36,703.8,826,142,Plastic,14640.08
A0IMA5009M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPO 1618 BMTC,48,537.2,875,108,Plastic,14507.04
A0KLA5002M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS-LPK 2523 TC BS3,48,537.2,785,108,Plastic,14500
A0VFA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,Prima 2528.K,36,703.8,826,142,Plastic,14454.36
A0TGA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,SET-COOLING SYSTEM,48,537.2,785,108,Plastic,14418.66
A5EEB5001M00,Radiator,Ashok Leyland,Commercial Vehicle,OEM,Domestic,RADIATOR - FOTON LOW ENTRY BUS,48,674.4,1000,136,Plastic,14109.7
A0NQA5009M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPO 1618 LHD,48,537.2,875,108,Plastic,14016.64
A0NQA5010M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPO 1618 LHD,48,537.2,875,108,Plastic,14013.17
A5KSA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS - RESLF 135KW HT BS-3 - B1V01901,48,674.4,1000,136,Plastic,14000
A0GUA5005M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,KIT-LPS 4923 BSIV COWL 278650120253,48,537.2,785,108,Plastic,13949.54
A0GUA5003M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ENGINE COOLING SYSTEM,48,537.2,785,108,Plastic,13877.178
B1BWA5001M01,ECS,Cummins,Gen Set,OEM,Domestic,ECS-CUMMINS 66kVA - A035A565,48,537.2,635,108,Plastic,13761
A0QLA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ENGINE COOLING SYSTEM,48,625.4,650,126,Plastic,13758.68
A0QVA5010M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,HY ASSY. LPS 4018 FACE LIFT,48,537.2,785,108,Plastic,13747.68
F8ADA5001M00,ECS,Volvo,Commercial Vehicle,OEM,Export,Volvo P9218 - MDE8 with condenser,48,606.2,687,158,Plastic,13702.23238
A0SKA5002M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,Higher End Assly,48,537.2,785,108,Plastic,13622.77
A0MQA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ENGINE COOLING SYSTEM,48,625.4,650,126,Plastic,13618.74
A0PZA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPT 3118 HE ASSY,48,537.2,785,108,Plastic,13609.63
A0FJA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS-LPO 1618 TC BS3(BRTS) - 207650000158,48,537.2,875,108,Plastic,13539.52
A5CGA5006M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS-222 VIKING VAVE PHASE-1-B1138403,48,625.4,800,126,Plastic,13503.38
A0IMA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS-LPO 1618 TC FE JNNURM BMTC,48,537.2,875,108,Plastic,13480.5
A8BCA5001M00,ECS,TMTL,Tractor,OEM,Domestic,ECS 62.5 KVA TMTL 9317 9801,48,537.2,598,108,Plastic,13480
A0VBA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS 3718 PUSHER AXLE,48,537.2,785,108,Plastic,13470.07
A5RCA5001M02,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS-3718 FVDP G45,48,552.6,855,124,Plastic,13465.89
A0HVA5005M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS-LPO 1618 KSRTC,,,,,Plastic,13444.71
A0AHA5005M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS 252750010108,48,537.2,598,108,Plastic,13406.54
A0SCA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS - LPT 1623 TC BS 3,48,537.2,785,108,Plastic,13402.51
A0SMA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS -LPT 3718 -278650120114,48,537.2,785,108,Plastic,13392.24
A5KWA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS -ALL PAVER-10004250,48,537.2,800,108,Plastic,13387.19
A0GUA5002M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPS4923 BS III,48,537.2,785,108,Plastic,13308.25
F8ACA5001M00,ECS,Volvo,Commercial Vehicle,OEM,Export,MDE5 With Condenser,48,606.2,687,158,Plastic,13297.09063
A5RBA5001M01,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,SA OF RADIATOR CAC SHROUD AN,48,552.6,855,124,Plastic,13223.2
A5NCA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ALL_62.5kVA CPCB2_ECS,,,,,Plastic,13210
A5NDA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ALL_82.5kVA CPCB2_ECS  ,,,,,Plastic,13210
C2ASA5001M00,ECS,Kirloskar,Gen Set,OEM,Domestic,ECS_KOEL-6RT_6H.502.40.0.00,48,733.2,740,148,Plastic,13200
A5CTA5001S00,ECS,Ashok Leyland,Commercial Vehicle,SPD,Domestic,ENGINE COOLING SYSTEM - 4921 G45,48,537.2,785,108,Plastic,13195.78
C2BDA5001M02,ECS,Kirloskar,Gen Set,OEM,Domestic,ECS_KOEL_4R810_62.5kVA CPCB-2,48,537.2,800,108,Plastic,13194.6
A0SSA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS ASSY LPT 1618 BSIV,,,,,Plastic,13023.27
A0VHA5002M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPO 1618 BSIV,48,623,655,140,Plastic,12987.45
D3AVA5001M00,ECS,Kubota,Tractor,OEM,Domestic,100 kVA Refresh,48,733.2,692,148,Plastic,12873.28
A0ECA5005M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS- LPT 2518 BS3 COWL,48,537.2,785,108,Plastic,12817.3
C3BEA5001M00,ECS,Force Motors,Commercial Vehicle,OEM,Domestic,MAN 300 HP,,,,,Plastic,12813.63
A5RXA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,LYNX SUNSHINE BSVI,34,553,650,83,Plastic,12716.94
A5RUA5001M01,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS LYNX SMART BSVI  ,34,553,650,83,Plastic,12674.78
A0KMA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ENGINE COOLING SYSTEM,48,537.2,740,108,Plastic,12669.85
A5RNA5001M01,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS_CTTP 180HP BSIV  ,48,552.6,855,124,Plastic,12666.88
C2BDA5010M00,ECS,Kirloskar,Gen Set,OEM,Domestic,4R810 VAVE 36 thick,,,,,Plastic,12644.6
A5BVA5001S01,ECS,Ashok Leyland,Commercial Vehicle,SPD,Domestic,ECS - PASSENGER BS3 - B1133501,48,537.2,740,108,Plastic,12644.14
A0VAA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS LPS 4923 BSIII,48,537.2,785,108,Plastic,12630.65
K5AAB5001M00,Radiator,JBM,Commercial Vehicle,OEM,Domestic,RADIATOR ASSEMBLY,48,702.2,1000,158,Plastic,12593
A0KMA5002M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS LPT 3723-278650120339,48,537.2,740,108,Plastic,12560
A0ITA5005M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,HE ASSY-LPT1613 697BS3 COWL-252550110126,36,537.2,560,108,Plastic,12536.13
G6ABA5001M01,ECS,Volvo Eicher,Commercial Vehicle,OEM,Domestic,ECS VECV 82.5KVA,48,537.2,800,108,Plastic,12505.15
A0HNA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS-LPT 1613 TC (TILT CAB)-278650110380,36,537.2,525,108,Plastic,12500
A8CDA5001M00,ECS,Volvo Eicher,Commercial Vehicle,OEM,Domestic,ECS ASSY_TERRA 25 BS3_ID319658,48,537.2,740,108,Plastic,12447.33
A0VJA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPO 1618 AT/Best Bus,48,625.4,650,126,Plastic,12394.03
A8CQA5001M00,ECS,Volvo Eicher,Commercial Vehicle,OEM,Domestic,125 kVA,48,733.2,740,148,Plastic,12348.18
A5QRA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,FVDP N Truck,48,623,740,140,Plastic,12329.43
A0QAA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPO1512/900 LCCR ECS,36,537.2,560,108,Plastic,12308
A0WKA5002M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ARRANGEMENT COOLING SYSTEM,48,537.2,785,108,Plastic,12305.34
G6AHA5001M00,ECS,Volvo Eicher,Commercial Vehicle,OEM,Domestic,ECS 100 KVA VECV,48,733.2,740,148,Plastic,12261.7698
A0FSA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS-LPK 2523 TC FIX CAB- 2076 5010 0203,48,537.2,785,108,Plastic,12250.98
A5BNA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,E C S AL 2516 CARGO,48,537.2,740,108,Plastic,12249.43
A0GUA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS - LPS 4923 TC6X4-278650110363,48,537.2,785,108,Plastic,12234.06
A5EFA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS - 4921 G-90 B1209001,48,537.2,785,108,Plastic,12212.14
A5RUA5001M02,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS LYNX SMART BSVI  ,34,553,650,83,Plastic,12196
A0GZA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS-LPT 2523 TC - 278650110155,48,537.2,785,108,Plastic,12195.4
A5DVA5001M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS -1618 LHD - B1143702,48,488.2,740,98,Plastic,12166.81
A0GYA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS-LPK 2523 TC TILT CAB - 207650100206,48,537.2,785,108,Plastic,12159.69
A0LLA5010M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LP 913   (55150152R),48,552.6,785,124,Plastic,12086.91
A0EJA5005M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS-LPT 1613 TC BS3 COWL - 278650110385,36,537.2,525,108,Plastic,12069.09
A0UQA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPO 1623 Magma,,,,,Plastic,12000
A0WKA5042M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LPT 1918 24” Fan,34,586,785,88,Plastic,11964.83
A0FJB5001S01,Radiator,Tata Motors,Commercial Vehicle,SPD,Domestic,Radiator w/o MS 1618 BRTS,,,,,Plastic,11963
A0VAA5003M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,KIT-278650130151,48,537.2,785,108,Plastic,11949.76
D3ATA5001M01,ECS,Kubota,Tractor,OEM,Domestic,ECS-CIL 100 kVA UK,48,733.2,692,148,Plastic,11949
A0DFA5009M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS-LPS 4018 BS3 VAVE,48,537.2,650,108,Plastic,11948.24
A0BZA5005M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,HE ASSY-SE-SK 1613 TC BS 3-206950100199,36,537.2,560,108,Plastic,11923.03
A0TLA5001M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,LP 1112 BSIV,48,537.2,560,108,Plastic,11905.77
F7ACA5001M00,ECS,Kamaz Vectra,Commercial Vehicle,OEM,Export,Kamaz 2521 Tipper,48,552.6,740,124,Plastic,11900
A0WKA5022M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,Ashwamedh COWL,34,586,785,88,Plastic,11890.1
A0PXA5002M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ARRANGEMENT COOLING SYSTEM,36,537.2,650,108,Plastic,11864.26417
A0BXA5005M00,ECS,Tata Motors,Commercial Vehicle,OEM,Domestic,ECS - LPT 2515 697 EII,48,537.2,560,108,Plastic,11852.72
A5CTA5010M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS - 4018 SUPER G45 - B1144401,48,537.2,785,108,Plastic,11834.41
A5AYA5004M00,ECS,Ashok Leyland,Commercial Vehicle,OEM,Domestic,ECS - ALL 4018 G45 - B1140503,48,537.2,740,108,Plastic,11834.37
A0RTA5001M00,ECS,Tata Motors,Gen Set,OEM,Domestic,4SP CPCB2,48,537.2,598,108,Plastic,11811.51
C2BDA5001M00,ECS,Kirloskar,Gen Set,OEM,Domestic,ECS_KOEL_4R810_62.5kVA CPCB-2,48,537.2,800,108,Plastic,11799
